City,Latitude,Longitude,PM25_CI,PM25_diff,Temp_CI,Temp_diff
Bangkok,13.7538929,100.8160803,86.3,18.941041816915018,99.9,-14.808805101584856
Beijing,40.190632,116.412144,79.2,16.694168245547573,71.7,4.364380955946162
Belfast,54.5964411,-5.9302760999999995,99.9,19.31606571315547,76.0,1.8798366214801143
Belgrade,44.8178131,20.4568974,75.0,-0.21245971307151024,70.2,4.000720945535741
Bengaluru,12.979119800000001,77.5912997,97.8,15.480530728077994,87.7,2.503515193927313
Bergen,60.39430550000001,5.3259192,54.4,3.5966629588431585,73.5,0.9158145497439154
Berlin,52.501521700000005,13.402549800000003,94.0,10.243225409184816,63.0,1.965012392687029
Besançon,47.2380222,6.0243622000000006,94.5,3.872816816315144,59.2,1.864768573618191
Bhopal,23.258485699999998,77.401989,94.3,6.750122134076547,99.9,2.3925727517754822
Bilbao,43.2630051,-2.9349915,67.3,5.5418639962188365,94.2,6.592727169382344
Biratnagar,26.462300699999997,87.281617,96.7,-66.91174080151426,99.5,-9.487344056626322
Birmingham,52.479699200000006,-1.9026911,92.4,7.655245044971312,62.8,1.7231861999698488
Bishkek,42.8765615,74.6070079,99.8,30.52000314531182,85.9,2.466683062580728
Bloemfontein,-29.116395,26.215496,99.7,0.8153248107129087,98.8,-8.072519433477161
Bogotá,4.59808,-74.0760439,80.0,8.802808187363269,99.9,-7.107577853598016
Boise,43.6166163,-116.20088600000001,94.5,-4.662436386379653,59.4,-0.28336594588207475
Bologna,44.4936714,11.343034699999999,45.5,0.12237772127759428,66.0,3.765847571783056
Bordeaux,44.841225,-0.5800364,65.5,2.3821214251080747,77.7,2.379258641062311
Boston,42.3602534,-71.0582912,86.1,4.8842175066313045,71.2,1.3662313111434354
Bratislava,48.1516988,17.1093063,47.4,0.045492712700728084,97.7,-2.2387925819082675
Breda,51.588784499999996,4.7760237000000005,96.5,5.612225346029569,63.7,1.0570526083112295
Brescia,45.77958045,10.42587297,60.7,4.963695396723168,69.0,3.7255816862040447
Brisbane,-27.468968199999996,153.02349909999998,99.7,5.975425829268988,99.9,-11.448698069079606
Bristol,51.453802200000005,-2.5972985,98.3,12.596552865006686,69.6,1.8662191099593797
Brno,49.1922443,16.6113382,37.5,6.423756766777898,64.5,2.7732606416571954
Brooklyn,40.6501038,-73.9495823,43.4,1.8168186059398543,68.6,2.276303060380481
Brussels,50.8465573,4.351697,92.1,4.4030173618176605,73.1,2.974772587442221
Budapest,47.48138955,19.14607278,87.0,-4.102738899958034,63.7,3.6530356256646566
Buenos Aires,-34.6075682,-58.4370894,91.6,7.277697128974098,99.9,-3.7887676355902182
Burgos,42.343926,-3.6969769999999995,74.2,-3.1205782778585918,83.6,3.339857912943563
Bursa,40.1827657,29.0677305,99.3,-26.039978391402197,69.9,3.6195848256304295
Busan,35.1799528,129.0752365,95.8,19.188440412016615,99.4,-3.08273744942488
Bydgoszcz,53.12196479999999,18.0002529,61.1,-3.8628553554448217,74.5,2.412552339392162
Caen,49.1810037,-0.3698915,97.3,-21.716378882519045,99.2,-3.8935649830917662
Calama,-22.462391699999998,-68.9272181,69.8,4.23372175840473,86.2,2.3261169512726827
Calgary,51.0534234,-114.0625892,97.7,5.5305756701585445,65.3,-0.7862353265940607
Cape Town,-33.928992,18.417396,99.4,-2.4495094744171477,99.9,-3.750850348802517
Cardiff,51.481654600000006,-3.1791934,99.5,11.387263269287008,57.6,1.6538254939350612
Castelló de la Plana,39.9860347,-0.0377354,99.6,12.406104666560731,71.7,2.7062418560305126
Chandigarh,30.72984395,76.78414567,70.1,8.683499737192733,87.2,6.398637611183772
Changchun,43.8130735,125.31712160000001,73.5,-3.762155956761077,70.1,5.675529699258843
Changsha,28.230205600000005,112.9335861,76.4,24.965128001401595,75.1,4.158750206782469
Changwon,35.227956,128.6818586,82.2,10.917417786144142,98.9,-2.3237579117211986
Changzhou,31.8122623,119.96915390000001,58.9,17.01791565312702,70.3,3.5311538563401683
Charleroi,50.4120332,4.443624400000001,92.4,3.0337189438622896,63.1,0.9253992481378503
Charlotte,35.2272,-80.843083,99.3,13.357101846985044,85.9,2.490273238070792
Chengdu,30.662420500000003,104.0633219,55.2,15.309342553997753,77.1,2.764311102690417
Chennai,13.080172099999999,80.2838331,93.8,15.774217425140662,99.8,-1.8944396215575343
Cheongju-si,36.6421169,127.48917420000001,75.2,17.206703806019704,97.6,-1.8633937545583803
Chiang Mai,18.790876,98.98804799999999,74.6,17.61534105457021,99.9,-7.917787575327901
Chiba,35.609984999999995,140.118126,95.0,11.421877584780802,84.8,2.9788699857798875
Chicago,41.875561600000005,-87.6244212,97.2,8.02012152289683,76.5,2.565876826917986
Chillán,-36.6066616,-72.1033194,52.7,5.378682153960263,91.9,1.267665383189291
Chon Buri,13.1857117,101.1210777,84.1,10.330587139964225,99.9,-15.822061977696016
Chongqing,29.564739799999998,106.5478767,79.2,22.631392348845072,74.7,3.9189175885293785
Christchurch,-43.530955,172.63664550000001,87.8,1.6705722271795658,72.2,0.9787953953721455
Chuncheon,37.8810569,127.72976409999998,60.2,4.837338679118446,92.2,-1.0470118405880378
Clermont-Ferrand,45.777455100000005,3.0819427000000004,37.4,0.4139212474585108,77.1,1.8306827243946218
Colombo,6.9349969,79.8538463,91.4,16.38750981758323,67.9,1.7072181585563122
Columbia,2.8894433999999998,-73.78389200000001,37.9,-2.901940957324719,94.9,9.344490258560157
Columbus,39.9622601,-83.00070649999999,99.5,13.937732299217279,86.5,3.8553689936315085
Concepción,-36.827079499999996,-73.05023990000001,43.7,0.5287615665757812,93.8,1.079641781466579
Copenhagen,55.6867243,12.5700724,79.7,1.1467533767678404,74.9,1.1183819667355228
Coventry,52.4081812,-1.510477,97.0,8.211332555097847,66.3,1.8572909908037796
Cuernavaca,18.921827399999998,-99.2342282,81.3,25.333526151268078,99.6,-2.9928121036669464
Daegu,35.8713,128.6018,53.5,8.281847412876346,98.2,-2.468099092601875
Daejeon,36.3496,127.3848,73.9,13.594484714395762,96.9,-1.744990567459979
Dallas,32.7762719,-96.7968559,53.5,2.4181413108582177,94.1,1.2826114771398378
Dammam,26.436782399999995,50.1039991,99.9,-31.858330473077732,80.8,2.365119933829611
Darmstadt,49.872775,8.651177,60.1,2.66215151552192,57.6,1.709226627469672
Darwin,-12.46044,130.8410469,97.8,10.640404906747472,94.9,1.3617363268914993
Delhi,28.627392800000003,77.1716954,60.1,8.631240083609441,62.3,4.0855182946456585
Denver,39.7392364,-104.98486229999999,99.9,0.8904248636050625,95.2,-3.4011195084485437
Detroit,42.331550899999996,-83.04664029999999,88.2,3.2955773588254123,95.5,-1.6279638955779134
Dhaka,23.810651,90.41264659999999,62.3,10.836777667086382,62.9,3.9785010716017415
Dijon,47.321580600000004,5.0414701,99.8,-19.117510211526078,99.0,-4.32039723828267
Dnipro,51.919134299999996,30.8243039,94.8,10.409271331190126,85.7,-4.613641373906231
Dongguan,23.0444712,113.74655120000001,97.2,27.30230620510377,80.6,3.512526551683401
Donostia / San Sebastián,43.322421899999995,-1.9838889,85.5,8.921652813260161,85.7,1.7409438896290972
Dordrecht,51.7689546,4.686789055,93.4,-2.0913179886483557,57.6,1.3962352573270262
Douliu,50.6823381,2.7185192000000002,92.9,19.747745358090185,99.9,-9.864226002029113
Dubai,25.0750095,55.18876088,99.9,29.660012398304964,84.0,2.277321720919055
Dublin,53.3497645,-6.2602732,99.5,10.321993283247846,65.3,0.9271509216589866
Durban,-29.861825,31.009909000000004,97.0,-20.5859512518783,98.9,-10.173297059139106
Dushanbe,38.5425835,68.81521424,84.1,-23.45292689883347,99.2,-1.1694170568030415
East London,-33.0191604,27.899857300000004,52.9,-11.329864576012838,99.9,-10.743301974453551
Ecatepec de Morelos,19.5868005,-99.03409620000001,43.6,19.647329749103942,78.5,5.677294030404153
Edinburgh,55.9533456,-3.1883749,95.4,6.245055128408858,71.3,1.2034987593052104
Edmonton,53.535410999999996,-113.50799599999999,96.2,6.3890847584006645,71.5,0.08127997327107295
Eindhoven,51.4392648,5.478633,94.3,7.059955139410079,55.8,1.6100050177853298
El Paso,31.7754152,-106.4646348,98.8,1.0346614064467232,96.9,-4.028018610421835
Erzurum,39.7581897,41.4032241,83.2,13.487539020654696,68.5,1.5788255204195156
Florence,43.769871200000004,11.2555757,53.5,-3.2743094780636355,72.4,2.7703588798298453
Fort Worth,32.753177,-97.3327459,80.4,6.787215037465309,88.5,2.3449437099422674
Foshan,23.0247687,113.1146335,89.2,27.197099993073287,82.1,3.675797033333748
Freiburg,47.9960901,7.849400500000001,48.0,-1.2544394259800242,67.4,0.8046150362429554
Fresno,36.7295295,-119.7088613,97.9,-18.656465755601467,88.1,-1.6688469809760136
Fukuoka,33.6251241,130.61800159999999,62.8,8.396606984969047,83.3,4.190098428453266
Funchal,32.6496497,-16.9086783,64.7,1.1293211352183832,79.6,1.836799485522516
Fushun,41.8692972,123.92415700000001,47.3,9.071594608580142,65.4,4.726309185623425
Fuzhou,27.951118800000003,116.3530413,75.2,12.321167842168947,73.6,3.0991996499977645
Gandhinagar,23.223287699999997,72.6492267,95.3,17.12638974114506,54.5,2.2790062645919136
Gasteiz / Vitoria,42.8465088,-2.6724025,93.0,8.794179165291517,86.5,2.434086180412102
Gdańsk,54.36143405,18.62821848,87.6,-8.807434512095247,70.2,2.3633928581614896
Gent,51.0538286,3.7250121,90.1,5.678923882721571,60.6,1.4265599380226774
Ghāziābād,28.711240999999998,77.4445372,66.0,6.9016740619410655,99.9,2.9576107335378694
Gifu-shi,35.423094899999995,136.76275259999997,79.9,10.253456251757136,85.1,4.188408167194314
Glasgow,55.8609825,-4.248878700000001,96.4,6.235113455324793,70.5,1.1691763582611028
Göteborg,57.7072326,11.9670171,91.0,-3.3180038625116492,56.8,0.325038166134938
Grenoble,45.1875602,5.7357819,34.5,0.023475452986019718,78.8,2.0010739934889
Groningen,53.2190652,6.568007700000001,90.6,3.20899526132008,62.8,1.6721838856360518
Guadalajara,20.6720375,-103.3383962,94.6,0.2690967624226985,99.3,-2.7139240222143464
Guangzhou,23.1301964,113.25929450000001,94.0,27.266878684904256,76.8,3.894444877702945
