day,weighted_TS
20/02/20,0.674917759
21/02/20,0.679756919
22/02/20,0.70747935
23/02/20,0.718523224
24/02/20,0.692778018
25/02/20,0.678426142
26/02/20,0.678302075
27/02/20,0.676009658
28/02/20,0.677614203
29/02/20,0.683131856
01/03/20,0.710295889
02/03/20,0.684093816
03/03/20,0.677290739
04/03/20,0.663639749
05/03/20,0.683914062
06/03/20,0.68134746
07/03/20,0.70016068
08/03/20,0.671734037
09/03/20,0.703067837
10/03/20,0.678406853
11/03/20,0.691194408
12/03/20,0.686437391
13/03/20,0.695466539
14/03/20,0.723119361
15/03/20,0.727249036
16/03/20,0.733158561
17/03/20,0.729279914
18/03/20,0.733933883
19/03/20,0.730537498
20/03/20,0.726831503
21/03/20,0.744202483
22/03/20,0.748320602
23/03/20,0.746058981
24/03/20,0.75738907
25/03/20,0.766647831
26/03/20,0.761573442
27/03/20,0.74969699
28/03/20,0.741920355
29/03/20,0.74915101
30/03/20,0.712691263
31/03/20,0.730594967
01/04/20,0.733752439
02/04/20,0.730753913
03/04/20,0.693077795
04/04/20,0.71602772
05/04/20,0.74427313
06/04/20,0.743021265
07/04/20,0.748921992
08/04/20,0.756057777
09/04/20,0.752848398
10/04/20,0.755098129
11/04/20,0.744861426
12/04/20,0.754072788
13/04/20,0.745866505
14/04/20,0.745543507
15/04/20,0.719863188
16/04/20,0.68643877
17/04/20,0.686467144
18/04/20,0.719492928
19/04/20,0.728305602
20/04/20,0.733296549
21/04/20,0.728309753
22/04/20,0.729732459
23/04/20,0.726894438
24/04/20,0.719960999
25/04/20,0.717133547
26/04/20,0.727959471
27/04/20,0.720451965
28/04/20,0.725583544
29/04/20,0.711848007
30/04/20,0.671836797
01/05/20,0.675692549
02/05/20,0.718046165
03/05/20,0.775738369
04/05/20,0.732984934
05/05/20,0.685220858
06/05/20,0.70187105
07/05/20,0.702937098
08/05/20,0.691288336
09/05/20,0.701241979
10/05/20,0.717429028
11/05/20,0.714920312
12/05/20,0.676911938
13/05/20,0.725750867
14/05/20,0.723657852
15/05/20,0.711029762
16/05/20,0.706883178
17/05/20,0.738555557
18/05/20,0.720614062
19/05/20,0.724199762
20/05/20,0.723307378
21/05/20,0.723033795
22/05/20,0.707535743
23/05/20,0.729034326
24/05/20,0.724636793
25/05/20,0.727134683
26/05/20,0.72161205
27/05/20,0.714733734
28/05/20,0.714866798
29/05/20,0.712683718
30/05/20,0.713313633
31/05/20,0.729932699
01/06/20,0.723872275
02/06/20,0.709147634
03/06/20,0.722666295
04/06/20,0.730129229
05/06/20,0.70954405
06/06/20,0.719323532
07/06/20,0.721600979
08/06/20,0.701686444
09/06/20,0.698800391
10/06/20,0.705237124
11/06/20,0.697259719
12/06/20,0.684414854
13/06/20,0.710432167
14/06/20,0.711860474
15/06/20,0.688116621
16/06/20,0.69325172
17/06/20,0.694219292
18/06/20,0.697715435
19/06/20,0.688324896
20/06/20,0.703405067
21/06/20,0.716870703
22/06/20,0.708813282
23/06/20,0.696936738
24/06/20,0.70644543
25/06/20,0.699475682
26/06/20,0.695467626
27/06/20,0.719723634
28/06/20,0.729174625
29/06/20,0.70296071
30/06/20,0.706879206
01/07/20,0.706089697
02/07/20,0.699155701
03/07/20,0.705253791
04/07/20,0.74021087
05/07/20,0.739084599
06/07/20,0.711662134
07/07/20,0.713560792
08/07/20,0.710230819
09/07/20,0.707496773
10/07/20,0.698173215
11/07/20,0.737476042
12/07/20,0.750789614
13/07/20,0.721960864
14/07/20,0.705595463
15/07/20,0.707073097
16/07/20,0.702851307
17/07/20,0.687837265
18/07/20,0.712182536
19/07/20,0.719448072
20/07/20,0.695252749
21/07/20,0.702676635
22/07/20,0.695938419
23/07/20,0.696329281
24/07/20,0.693433631
25/07/20,0.717572157
26/07/20,0.729446758
27/07/20,0.715144339
28/07/20,0.712325287
29/07/20,0.708118633
30/07/20,0.70942686
31/07/20,0.688326016
01/08/20,0.699456092
02/08/20,0.722352371
03/08/20,0.69663825
04/08/20,0.700089961
05/08/20,0.691738163
06/08/20,0.684362165
07/08/20,0.676685111
08/08/20,0.696431403
09/08/20,0.700064896
10/08/20,0.675308498
11/08/20,0.685851074
12/08/20,0.690507282
13/08/20,0.691451495
14/08/20,0.689748251
15/08/20,0.707475011
16/08/20,0.71897973
17/08/20,0.692732918
18/08/20,0.695084712
19/08/20,0.694227353
20/08/20,0.690686773
21/08/20,0.691404567
22/08/20,0.713016947
23/08/20,0.718621609
24/08/20,0.705543324
25/08/20,0.698184029
26/08/20,0.70027451
27/08/20,0.693481018
28/08/20,0.689107952
29/08/20,0.716604778
30/08/20,0.718357304
31/08/20,0.706070696
01/09/20,0.705362828
02/09/20,0.696170442
03/09/20,0.65874495
04/09/20,0.635370068
05/09/20,0.711557871
06/09/20,0.741517148
07/09/20,0.733959889
08/09/20,0.743218163
09/09/20,0.702088737
10/09/20,0.7128923
11/09/20,0.705723486
12/09/20,0.733589823
13/09/20,0.7442179
14/09/20,0.729263516
15/09/20,0.736512292
16/09/20,0.72625474
17/09/20,0.711231632
18/09/20,0.690638411
19/09/20,0.709622173
20/09/20,0.713232289
21/09/20,0.677119826
22/09/20,0.701314249
23/09/20,0.707799501
24/09/20,0.708096883
25/09/20,0.692472458
26/09/20,0.709487563
27/09/20,0.717935118
28/09/20,0.701157941
29/09/20,0.706120294
30/09/20,0.700192832
01/10/20,0.695651673
02/10/20,0.691319247
03/10/20,0.690948201
04/10/20,0.697994801
05/10/20,0.697627645
06/10/20,0.700944466
07/10/20,0.691937193
08/10/20,0.704147324
09/10/20,0.693688507
10/10/20,0.700744973
11/10/20,0.697650102
12/10/20,0.70127323
13/10/20,0.702910503
14/10/20,0.698194874
15/10/20,0.701648534
16/10/20,0.69188641
17/10/20,0.70163632
18/10/20,0.696554725
19/10/20,0.704631496
20/10/20,0.697258845
21/10/20,0.703597881
22/10/20,0.69867016
23/10/20,0.695101921
24/10/20,0.707604826
25/10/20,0.694836639
26/10/20,0.696785944
27/10/20,0.700848968
28/10/20,0.694074275
29/10/20,0.696697019
30/10/20,0.68920375
31/10/20,0.7102904
