,date,city,env,median
224,2020-07-29,Austin,temperature,26.6
225,2020-10-07,Austin,temperature,23.0
226,2020-02-04,Austin,temperature,18.3
227,2020-03-06,Austin,temperature,13.4
228,2020-04-27,Austin,temperature,23.8
229,2020-05-27,Austin,temperature,19.9
230,2020-04-07,Austin,temperature,24.7
231,2020-07-22,Austin,temperature,28.1
232,2020-01-16,Austin,temperature,13.8
233,2020-01-21,Austin,temperature,10.8
234,2020-08-03,Austin,temperature,25.1
235,2020-07-15,Austin,temperature,29.5
236,2020-08-01,Austin,temperature,28.1
237,2020-09-24,Austin,temperature,21.3
238,2020-10-12,Austin,temperature,24.1
239,2020-03-12,Austin,temperature,21.8
240,2020-03-20,Austin,temperature,13.1
241,2020-04-24,Austin,temperature,25.8
242,2020-06-06,Austin,temperature,28.6
243,2020-02-06,Austin,temperature,4.4
244,2020-03-21,Austin,temperature,10.5
245,2020-04-25,Austin,temperature,20.6
246,2020-05-13,Austin,temperature,23.3
247,2020-03-30,Austin,temperature,18.8
248,2020-08-19,Austin,temperature,28.2
249,2020-08-28,Austin,temperature,32.7
250,2020-10-20,Austin,temperature,25.3
251,2020-05-10,Austin,temperature,19.8
252,2020-06-23,Austin,temperature,25.5
253,2020-07-19,Austin,temperature,27.9
254,2020-03-14,Austin,temperature,22.5
255,2020-04-10,Austin,temperature,18.4
256,2020-05-02,Austin,temperature,24.4
257,2020-06-20,Austin,temperature,26.7
258,2020-04-06,Austin,temperature,18.7
259,2020-04-20,Austin,temperature,22.2
260,2020-06-24,Austin,temperature,24.7
261,2020-07-03,Austin,temperature,28.7
262,2020-01-04,Austin,temperature,10.2
263,2020-01-10,Austin,temperature,20.5
264,2020-02-02,Austin,temperature,15.7
265,2020-03-31,Austin,temperature,16.9
266,2020-08-23,Austin,temperature,28.9
267,2020-08-27,Austin,temperature,31.6
268,2020-09-29,Austin,temperature,17.8
269,2020-10-09,Austin,temperature,24.1
270,2020-05-05,Austin,temperature,24.2
271,2020-06-04,Austin,temperature,27.7
272,2020-09-14,Austin,temperature,27.7
273,2020-05-19,Austin,temperature,28.2
274,2020-07-08,Austin,temperature,29.0
275,2020-07-12,Austin,temperature,31.1
276,2020-01-30,Austin,temperature,7.2
277,2020-03-01,Austin,temperature,18.8
278,2020-03-04,Austin,temperature,15.0
279,2020-04-01,Austin,temperature,18.0
280,2020-03-29,Austin,temperature,20.0
281,2020-06-27,Austin,temperature,27.5
282,2020-08-10,Austin,temperature,31.3
283,2020-09-02,Austin,temperature,26.2
284,2020-09-26,Austin,temperature,24.4
285,2020-06-12,Austin,temperature,26.1
286,2020-06-19,Austin,temperature,27.3
287,2020-09-17,Austin,temperature,24.9
288,2020-09-20,Austin,temperature,21.0
289,2020-09-01,Austin,pm25,72.0
290,2020-02-12,Austin,pm25,16.0
