,city,mean,S_diff,num_bootstraps,CI
81,Munich,10.793113750049235,35.735936626097924,678,67.8
82,Raleigh,17.6623393751842,45.32741403078446,864,86.4
83,Sejong,11.344452613879755,78.62496140060658,959,95.9
84,Split,13.14584975953674,53.87077211335034,904,90.4
85,Suncheon,12.747148584405954,88.41624698739342,989,98.9
86,Cape Town,15.52037975475684,118.0882798664278,999,99.9
87,Honolulu,23.63360604001733,17.519731478199255,947,94.7
88,Bratislava,9.534048880454607,65.20834216318231,977,97.7
89,Little Rock,17.77901391758038,50.328300426399714,879,87.9
90,Ulan Bator,-0.1665592178801291,85.10773918177976,640,64.0
91,Bergen,8.851093015947717,25.404619176476107,735,73.5
92,Ḩawallī,28.28805827021205,55.598759644755205,748,74.8
93,Ternopil,-6.090220095316865,150.29913876088074,999,99.9
94,Taiping,29.92243459273701,17.92281775572108,999,99.9
95,Las Palmas de Gran Canaria,20.75477556547704,16.576845828902275,799,79.9
96,Medellín,6.740896688381774,109.3149891053466,999,99.9
97,Arāk,15.901036870603749,62.61865588426839,851,85.1
98,Thessaloníki,17.319358813229783,37.58155597091083,993,99.3
99,Antwerpen,13.204278284748254,26.07548485348538,554,55.4
100,Berlin,12.600593914721415,34.97976984500483,630,63.0
101,Johannesburg,11.909687050528262,82.61728135046268,999,99.9
102,Besançon,10.903523206972968,32.57860726743292,592,59.2
103,San Antonio,19.866491668092753,74.83693441430651,973,97.3
104,Chiang Mai,23.71616981025247,78.87959420172126,999,99.9
105,Saint Petersburg,14.381513227513228,35.80935449735449,498,49.8
106,Turku,7.527396371935443,37.3708144249614,601,60.1
107,Ghāziābād,28.97326857799536,15.534058354588797,999,99.9
108,Salt Lake City,8.866409911772816,63.654356217259426,962,96.2
109,Niigata,15.277749890157429,49.59294711529971,799,79.9
110,Charleroi,11.695605690502797,26.63281746988644,631,63.1
111,Accra,26.424234904880063,4.990736145574843,858,85.8
112,Sydney,18.217005896865466,22.210422477966986,618,61.8
113,Takamatsu,16.996246712362538,48.61866006745389,718,71.8
114,Piteşti,14.818646453594027,52.24168858630156,906,90.6
115,Stavanger,9.308734051605299,23.66298813734162,665,66.5
116,Strasbourg,13.190881668310057,36.06215714431723,743,74.3
117,Taitung City,17.930031062359344,120.36302081593172,999,99.9
118,Mainz,14.21964236092315,38.68676873367641,957,95.7
119,Nagpur,23.542341840096718,23.076213737952862,960,96.0
120,Kyoto,17.226086395258744,53.80905077341392,853,85.3
121,Addis Ababa,16.82595007799267,6.906673729182506,669,66.9
122,Oslo,8.71707714513888,32.754721801187316,522,52.2
123,Calama,14.266255894488653,21.411367950891037,862,86.2
124,Qingdao,14.52659284634535,57.88005292816192,793,79.3
125,Nizhniy Novgorod,10.852027649769585,25.222749615975424,881,88.1
126,Bydgoszcz,10.41111778485388,38.83544382851111,745,74.5
127,Niš,12.702392324567661,42.72817323141572,632,63.2
128,Sevilla,19.64586049348007,32.65608376421507,661,66.1
129,Delhi,25.46138600021595,38.13421491166416,623,62.3
130,Gasteiz / Vitoria,12.583197975704932,32.22809534844708,865,86.5
131,Novosibirsk,8.365747843554296,53.408631218244125,954,95.4
132,Zhengzhou,16.694569318643293,57.222745952292655,712,71.2
133,Kerman,19.67856118560524,50.727496178240536,825,82.5
134,Pamplona,14.344952826297723,31.865652796561108,775,77.5
135,Nicosia,18.507314645834942,64.05257322917483,917,91.7
136,Saint-Étienne,12.494314586584467,36.14808642607242,738,73.8
137,Pécs,13.007712985938795,40.09915632754341,576,57.6
138,Leicester,10.453419921368335,23.50449827154985,825,82.5
139,Bilbao,17.14307042589718,38.69360863583334,942,94.2
140,Nakhon Pathom,28.75737064608033,4.397985479275778,934,93.4
141,Nice,16.217424088085934,36.5820891412382,806,80.6
142,Dublin,10.356678667434714,18.7823055875576,653,65.3
143,Miri,26.994850624286105,2.9588532435306725,619,61.9
144,Ho Chi Minh City,27.7487307643369,5.604223894234195,777,77.7
145,Queens,14.861007383015021,98.84122218801761,975,97.5
146,Breda,12.386470655395152,27.145551588829576,637,63.7
147,Guadalajara,17.436044891488443,61.758465280239484,993,99.3
148,Ashkelon,21.55128877222148,37.52571575050832,753,75.3
149,Hyderabad,28.735714047184427,9.544810078455072,999,99.9
150,Okayama,15.771540315025788,49.816516925518265,717,71.7
151,Ulsan,12.494436235961539,86.65070882414463,992,99.2
152,Nantes,13.531636506646242,27.107911914744452,750,75.0
