,city,mean,S_diff,num_bootstraps,CI
73,Bratislava,45.3752604983695,67.3708239449341,44,44.0
74,Little Rock,33.93283079082578,37.68953930292922,80,80.0
75,Ulan Bator,113.32946417536239,330.7236179529282,72,72.0
76,Bergen,20.00282412557162,33.11558521814362,50,50.0
77,Ḩawallī,112.84483312926722,164.69841499882517,94,94.0
78,Ternopil,33.049221221245695,67.20086088056054,51,51.0
79,Las Palmas de Gran Canaria,33.137635821106336,46.780567120433744,68,68.0
80,Medellín,67.86356290786213,92.0944420552874,78,78.0
81,Arāk,44.577220305494784,304.0072088051301,99,99.0
82,Thessaloníki,47.899873424066975,38.371115622728546,96,96.0
83,Antwerpen,42.39444261440065,77.95370026465274,84,84.0
84,Berlin,37.32613303803168,78.43744140314635,90,90.0
85,Johannesburg,76.26884418109391,123.0632016342946,89,89.0
86,Besançon,32.40479987052799,101.33961865914256,96,96.0
87,San Antonio,34.81189566211813,42.14847700809881,96,96.0
88,Chiang Mai,80.81317138599256,263.9439035894586,72,72.0
89,Saint Petersburg,30.618249083343635,38.38175091665637,28,28.0
90,Turku,16.44094716215684,27.06258990113828,69,69.0
91,Ghāziābād,156.7241991848221,418.3857392761735,66,66.0
92,Salt Lake City,23.464457557644437,78.24236962518394,95,95.0
93,Niigata,32.28764274016985,60.953399003743144,94,94.0
94,Charleroi,33.44657335440666,112.01685205005269,92,92.0
95,Accra,61.05113730355666,15.776695616211754,83,83.0
96,Sydney,32.08808388033917,90.08611506680198,96,96.0
97,Takamatsu,39.88409188373732,73.71391941391946,98,98.0
98,Stavanger,24.939716884586186,50.411283463786276,73,73.0
99,Strasbourg,49.465388924201505,60.44567786959068,46,46.0
100,Taitung City,31.095630319809956,44.29145305936193,70,70.0
101,Mainz,40.58461538461539,19.764102564102572,59,59.0
102,Nagpur,79.76111113661048,115.54726052268245,96,96.0
103,Kyoto,42.42381236749284,46.43066459171159,91,91.0
104,Addis Ababa,64.84100052533243,89.00993366045569,77,77.0
105,Oslo,26.48718785694592,55.072202036314906,94,94.0
106,Calama,27.447888900433394,41.82302626307076,79,79.0
107,Qingdao,88.67047761825988,174.82312615699715,61,61.0
108,Nizhniy Novgorod,34.17275161702303,33.55838174102914,88,88.0
109,Bydgoszcz,53.45463635475374,74.87818411130976,64,64.0
110,Niš,84.13222711891372,194.15544922031995,70,70.0
111,Delhi,156.33401748109762,366.1002068164201,48,48.0
112,Gasteiz / Vitoria,36.519698949857464,44.56429135072076,90,90.0
113,Novosibirsk,56.65386054434998,59.85684184188076,78,78.0
114,Zhengzhou,115.66490225878432,198.18823832205317,50,50.0
115,Kerman,48.77358288726476,324.1769849727581,99,99.0
116,Saint-Étienne,30.64651684445205,58.510844433035764,44,44.0
117,Nicosia,59.77767436956815,69.62139948946131,99,99.0
118,Pécs,43.241854196971,126.00188956390289,81,81.0
119,Leicester,33.30323152777269,77.02957159019445,98,98.0
120,Bilbao,39.41620715290765,42.82941101970579,67,67.0
121,Nakhon Pathom,61.26754332060227,170.88926312841772,96,96.0
122,Nice,38.61403072502211,59.81029117110165,92,92.0
123,Dublin,29.92185836268738,108.99001403001733,99,99.0
124,Queens,25.37416088422762,35.30938344191956,14,14.0
125,Ho Chi Minh City,69.22864551790441,106.56774240544405,99,99.0
126,Breda,33.64084824611799,90.86106688546899,97,97.0
127,Guadalajara,54.97730799752028,103.55554233785145,92,92.0
128,Ashkelon,55.62213028891144,62.83102822156222,97,97.0
129,Hyderabad,96.70565857328928,227.96412307257714,92,92.0
130,Okayama,46.87884690508787,58.793842020743405,87,87.0
131,Ulsan,61.36350091710909,112.38969466990186,98,98.0
132,Nantes,34.94074180747568,45.11326804915507,65,65.0
133,Port Elizabeth,34.579168758259414,36.88000793854519,88,88.0
134,Singapore,48.966139040325636,107.35258809136728,99,99.0
135,Zaporizhia,42.61430849285608,114.55829499878446,99,99.0
136,Rijeka,35.43976820396846,44.550107967251954,57,57.0
137,Boston,28.78995072872993,45.62853312797703,90,90.0
138,Nashville,33.94145599641984,48.91136278132943,86,86.0
139,Halifax,19.356706771938974,16.69779482969138,22,22.0
140,Willemstad,40.094279733781285,63.07040255465742,92,92.0
141,Istanbul,62.3680473668794,69.06482649513796,66,66.0
142,Bloemfontein,83.91315672101696,332.28591759581434,99,99.0
143,Fort Worth,31.663329786793355,42.47111476460755,73,73.0
144,Wakayama,40.84411846496108,46.829569892473046,81,81.0
145,Victoria,23.37691523684572,89.02530737585248,99,99.0
146,Göteborg,23.302099998578026,32.382835031682305,89,89.0
147,Jerusalem,56.69520408987873,36.7456078250016,80,80.0
148,Rancagua,72.55599089376203,204.0985046215372,76,76.0
149,Southend-on-Sea,33.025381104496795,66.45993700095477,64,64.0
150,Launceston,18.27245563344701,43.355239770889156,66,66.0
151,Novi Sad,62.543220236744446,147.93234708416793,72,72.0
152,Kolkata,111.52527376606211,359.5332439058591,92,92.0
153,Toulon,40.30103645890631,119.43979767914692,99,99.0
154,Shenyang,103.59207731151558,181.7674349195484,39,39.0
155,İzmit,60.61455722520796,73.07284914545755,71,71.0
156,Columbia,35.17457098127843,35.03334689925905,47,47.0
157,Auckland,32.89366155626119,81.75135461000784,99,99.0
158,Funchal,20.289634712177527,35.82425685021462,69,69.0
159,Chuncheon,62.10363594198412,119.26594778352322,57,57.0
160,Haikou,54.74427227003005,136.8691474790196,94,94.0
161,Nagano,30.977442312276157,43.19032696076633,63,63.0
162,Xinxiang,124.03856352907383,209.02273084257246,68,68.0
163,Jaipur,107.56336481078553,161.9824687856941,85,85.0
164,Seattle,25.633057869549802,82.13160079168138,97,97.0
165,Jackson,35.10287118640844,36.3325898671839,61,61.0
166,Jakarta,111.00281753804357,232.03659948059772,99,99.0
167,Clermont-Ferrand,34.78037459543299,60.68652598328615,44,44.0
